Event	ID	Name			Wwise Object Path	Notes
	700816955	Rustling			\Default Work Unit\Sync_Sounds\Rustling	
	2084169529	Forest_Ambience			\Default Work Unit\Ambience\Forest_Ambience	

Switch Group	ID	Name			Wwise Object Path	Notes
	1015245057	Ambience_DayNumber			\Default Work Unit\Ambience_DayNumber	

Switch	ID	Name	Switch Group			Notes
	2043358088	Day3	Ambience_DayNumber			
	2043358089	Day2	Ambience_DayNumber			
	2043358090	Day1	Ambience_DayNumber			
	2043358092	Day7	Ambience_DayNumber			
	2043358093	Day6	Ambience_DayNumber			
	2043358094	Day5	Ambience_DayNumber			
	2043358095	Day4	Ambience_DayNumber			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2154774526	DayNumber			\Default Work Unit\DayNumber	
	3729505769	TimeOfDay			\Default Work Unit\TimeOfDay	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	128417762	Rustling_03	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Rustling_03_7974E2CC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Rustling\Rustling_03		586256
	205979494	Bird_Bright_ThreeTimes	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Bird_Bright_ThreeTimes_D57C740A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Birds_Songbirds\Bird_Bright_ThreeTimes		238274
	245684003	Creak_05	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Creak_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Creak_Trees\Creak_05		194900
	246779309	Rustling_04	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Rustling_04_B31E2FE2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Rustling\Rustling_04		729714
	272100441	Bird_High	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Bird_High_0CD153C4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Birds_Songbirds\Bird_High		42492
	333808461	Clarinet_Dissonant_2	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Clarinet_Dissonant_2_CDB178B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Clarinet_Creepy\Clarinet_Dissonant_2		242170
	378481834	Wind_2	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Wind_2_2BAEF418.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Wind\Wind_2		800812
	505933468	Bird_Warble	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Bird_Warble_4EC0C162.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Birds_Songbirds\Bird_Warble		112608
	529570113	Wind_3	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Wind_3_2752E938.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Wind\Wind_3		1224132
	534692918	Whispering_1	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Whispering_1_0EA6958E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Whispering_Creepy\Whispering_1		354356
	553737717	Crow_3	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Crow_3_E3051226.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Birds_Crows\Crow_3		52272
	554593769	Creak_02	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Creak_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Creak_Trees\Creak_02		195790
	608886382	Crickets	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Crickets_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Crickets		671480
	645559806	Bird_Honey	C:\Users\bells\Documents\GitHub\SevenMoons\Sound\SevenMoonsAudio\.cache\Windows\SFX\Bird_Honey_532D7FCC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Forest_Sounds\Birds_Songbirds\Bird_Honey		25946
